npi	specialty	taxonomy_code	organization_name	city	state	gender	credentials	claims_2022	beneficiaries_2022	diabetes_share_2022	glp1_penetration_2022	branded_share_2022	drug_diversity_2022	has_tirzepatide_2022	total_payments_2022	novo_nordisk_payments	eli_lilly_payments	has_research_payments	adoption_archetype	pharma_engagement_tier	geo_cluster	network_group	claims_2023	beneficiaries_2023	diabetes_share_2023	glp1_penetration_2023	branded_share_2023	drug_diversity_2023	has_tirzepatide_2023	tirzepatide_claims_2023	part_d_rows_2023	rank_within
1538378310	Internal Medicine	207R00000X	1441 N BECKLEY AVE	Dallas	TX	M	MD	155.0	41.0	0.44516129032258067	0.463768115942029	0.5555555555555556	5	0	43.5	0.0	0.0	0	Unclassified	Low_Engagement	TX_Dallas	1441 N BECKLEY AVE	41.0	27.0	0.0	0.0	0.0	0	0	0.0	2	1.0
1255658340	Endocrinology	207RE0101X	5323 HARRY HINES BOULEVARD	Dallas	TX	F	MD	667.0	132.0	0.272863568215892	0.45054945054945056	0.4117647058823529	6	0	1069.7400000000002	124.72	0.0	0	Unclassified	Medium_Engagement	TX_Dallas	5323 HARRY HINES BOULEVARD	673.0	158.0	0.25705794947994054	0.43352601156069365	0.4666666666666667	6	1	22.0	15	2.0
1386930881	Internal Medicine	207R00000X	5323 HARRY HINES BLVD	Dallas	TX	F	MD	163.0	34.0	0.4233128834355828	0.4057971014492754	0.375	4	0	0.0	0.0	0.0	0	Unclassified	Low_Engagement	TX_Dallas	5323 HARRY HINES BLVD	414.0	93.0	0.4057971014492754	0.3273809523809524	0.38095238095238093	7	0	0.0	21	2.0
1205966413	Family Medicine	207Q00000X	7500 BEECHNUT ST STE 352	Houston	TX	F	M.D.	2064.0	593.0	0.15503875968992248	0.121875	0.39655172413793105	8	0	0.0	0.0	0.0	0	Conservative_PCP	Low_Engagement	TX_Houston	7500 BEECHNUT ST STE 352	2409.0	738.0	0.13740141137401413	0.1540785498489426	0.3684210526315789	7	0	0.0	57	1.0
1770583411	Family Medicine	207Q00000X	6400 HILLCROFT ST STE 100	Houston	TX	F	D.O.	1212.0	343.0	0.15016501650165018	0.12087912087912088	0.2708333333333333	7	0	546.1800000000001	68.27000000000001	12.92	0	Conservative_PCP	Low_Engagement	TX_Houston	6400 HILLCROFT ST STE 100	1098.0	270.0	0.12295081967213115	0.1111111111111111	0.2608695652173913	6	0	0.0	46	2.0
1255378352	Internal Medicine	207RN0300X	11715 RED OAK DR	Houston	TX	M	M.D.	1355.0	415.0	0.15276752767527677	0.12077294685990338	0.2857142857142857	7	0	171.28999999999996	49.78	17.29	0	Conservative_PCP	Low_Engagement	TX_Houston	11715 RED OAK DR	1328.0	474.0	0.11295180722891567	0.12666666666666668	0.16279069767441862	4	0	0.0	43	1.0
1629119508	Internal Medicine	207R00000X	1515 HOLCOMBE BLVD	Houston	TX	F	MD	259.0	53.0	0.833976833976834	0.11574074074074074	0.8461538461538461	9	0	142.6	0.0	0.0	0	Conservative_PCP	Low_Engagement	TX_Houston	1515 HOLCOMBE BLVD	80.0	12.0	0.5875	0.0	0.5	2	0	0.0	4	2.0
1538392345	Family Medicine	207Q00000X	7109B LAWNDALE ST	Houston	TX	M	M.D.	485.0	184.0	0.2288659793814433	0.0990990990990991	0.18181818181818182	6	0	26.97	0.0	0.0	0	Conservative_PCP	Low_Engagement	TX_Houston	7109B LAWNDALE ST	1987.0	601.0	0.13487669854051335	0.1865671641791045	0.2857142857142857	8	0	0.0	56	3.0
1821200296	Internal Medicine	207RG0300X	6613 S BRAESWOOD BLVD	Houston	TX	M	MD	1098.0	297.0	0.1930783242258652	0.09905660377358491	0.2571428571428571	6	0	0.0	0.0	0.0	0	Conservative_PCP	Low_Engagement	TX_Houston	6613 S BRAESWOOD BLVD	3688.0	1197.0	0.18004338394793926	0.2003012048192771	0.27586206896551724	15	1	20.0	87	3.0
1609910835	Endocrinology	207RE0101X	3100 EDLOE ST STE 210	Houston	TX	M	M.D.	2313.0	560.0	0.642023346303502	0.3400673400673401	0.5849056603773585	16	0	123108.47000000002	30835.390000000003	82086.69	0	Early_Adopter_Specialist	High_Pharma_Engagement	TX_Houston	3100 EDLOE ST STE 210	2287.0	614.0	0.6794927853082641	0.3835263835263835	0.6341463414634146	18	1	19.0	41	2.0
1437457660	Family Medicine	207Q00000X	2505 ALDINE MAIL ROUTE RD	Houston	TX	M	M.D.	1002.0	465.0	0.24151696606786427	0.049586776859504134	0.22857142857142856	9	0	0.0	0.0	0.0	0	Laggard	Low_Engagement	TX_Houston	2505 ALDINE MAIL ROUTE RD	2371.0	850.0	0.19780683256010123	0.05970149253731343	0.2545454545454545	8	0	0.0	55	1.0
1427040856	Internal Medicine	207R00000X	8200 WEDNESBURY LN	Houston	TX	M	M.D.,P.A.	566.0	89.0	0.18374558303886926	0.0	0.2	5	0	0.0	0.0	0.0	0	Laggard	Low_Engagement	TX_Houston	8200 WEDNESBURY LN	559.0	75.0	0.15384615384615385	0.0	0.24	4	0	0.0	25	1.0
1518945674	Internal Medicine	207R00000X	7737 SOUTHWEST FWY	Houston	TX	M	M.D.	3818.0	1049.0	0.15243583027763227	0.18213058419243985	0.3218390804597701	13	1	480.81999999999994	58.019999999999996	101.0	0	Mainstream_Specialist	Low_Engagement	TX_Houston	7737 SOUTHWEST FWY	4264.0	1202.0	0.1672138836772983	0.38288920056100983	0.32608695652173914	12	1	68.0	92	1.0
1982130035	Endocrinology	207RE0101X	13300 HARGRAVE RD STE 205	Houston	TX	M	M.D.	324.0	145.0	0.5648148148148148	0.17486338797814208	0.5294117647058824	10	0	1275.28	214.59	104.28	0	Mainstream_Specialist	Medium_Engagement	TX_Houston	13300 HARGRAVE RD STE 205	3317.0	1015.0	0.5465782333433826	0.1963596249310535	0.6031746031746031	24	1	43.0	63	1.0
1053638189	Internal Medicine	207R00000X	6410 FANNIN ST STE 600	Houston	TX	F	M.D.	723.0	124.0	0.45919778699861685	0.1746987951807229	0.56	10	0	0.0	0.0	0.0	0	Mainstream_Specialist	Low_Engagement	TX_Houston	6410 FANNIN ST STE 600	561.0	102.0	0.4474153297682709	0.3466135458167331	0.5555555555555556	9	0	0.0	18	2.0
1437544293	Endocrinology	207RE0101X	11003 RESOURCE PKWY STE 105	Houston	TX	F	MD	877.0	295.0	0.7445838084378563	0.17304747320061256	0.64	13	0	3267.010000000001	710.7899999999997	199.71000000000004	0	Mainstream_Specialist	Medium_Engagement	TX_Houston	11003 RESOURCE PKWY STE 105	1599.0	578.0	0.6885553470919324	0.2633969118982743	0.625	15	1	57.0	32	2.0
1174732291	Internal Medicine	207RB0002X	7055 OLD KATY RD	Houston	TX	M	MD	497.0	205.0	0.5533199195171026	0.6509090909090909	0.4	3	1	404.10999999999996	328.1599999999999	12.23	0	Unclassified	Low_Engagement	TX_Houston	7055 OLD KATY RD	1225.0	400.0	0.566530612244898	0.5648414985590778	0.4	4	1	49.0	15	1.0
1518308931	Internal Medicine	207RC0000X	6550 FANNIN ST STE 1801	Houston	TX	M	M.D.	417.0	30.0	0.2805755395683453	0.5555555555555556	0.4117647058823529	4	0	631.63	20.0	0.0	0	Unclassified	Low_Engagement	TX_Houston	6550 FANNIN ST STE 1801	431.0	25.0	0.3433874709976798	0.5405405405405406	0.3888888888888889	5	1	11.0	18	2.0
1275634289	Internal Medicine	207RB0002X	1800 W 26TH ST STE 200	Houston	TX	M	MD., FCCP.	1037.0	254.0	0.15718418514946964	0.5276073619631901	0.5769230769230769	5	0	337.43	0.0	0.0	0	Unclassified	Low_Engagement	TX_Houston	1800 W 26TH ST STE 200	706.0	213.0	0.18413597733711048	0.6153846153846154	0.48	4	1	24.0	25	3.0
1366977316	Internal Medicine	207R00000X	6431 FANNIN ST	Houston	TX	F	M.D.	170.0	44.0	0.6058823529411764	0.4077669902912621	0.6666666666666666	6	0	183.42000000000002	0.0	0.0	0	Unclassified	Low_Engagement	TX_Houston	6431 FANNIN ST	535.0	168.0	0.6579439252336449	0.30113636363636365	0.5263157894736842	11	1	21.0	19	4.0
